feature,importance
oldbalanceOrg,0.23858332324397696
log_amount,0.1368890045922752
amount,0.13682387671214272
hour_of_day,0.13310878955454553
simulated_hour,0.08041076304167663
simulated_day,0.05656189103283911
oldbalanceDest,0.034034616853914665
destination_balance_zero,0.02008670922252264
type_TRANSFER,0.01716935414811572
is_transfer,0.016519923408273157
prior_receiver_mean_amount,0.0153148655643184
prior_receiver_total_amount,0.015023132172825552
prior_receiver_time_since_last_transaction,0.014568867955211659
is_cash_out,0.014237625412336937
prior_receiver_max_amount,0.013641523864801615
type_CASH_OUT,0.013433566084395446
sender_balance_zero,0.00856358865598004
prior_receiver_distinct_senders,0.007903411470899013
is_transfer_or_cash_out,0.007627758179353888
prior_receiver_transaction_count,0.007012463246862592
receiver_transactions_previous_24_steps,0.004603553502845605
prior_receiver_has_history,0.0034438876259892935
type_PAYMENT,0.0023804007607837866
type_CASH_IN,0.001240604108084304
type_DEBIT,0.00014139950789390663
prior_sender_mean_amount,0.00012254952229129543
prior_sender_total_amount,0.00012198511950567146
prior_sender_max_amount,0.0001050449442173547
prior_sender_time_since_last_transaction,0.00010002650320408026
prior_sender_min_amount,7.995335191188352e-05
prior_sender_cashout_count,3.1148262767973444e-05
sender_amount_previous_24_steps,2.998472193990977e-05
prior_sender_distinct_destinations,2.8942075949647594e-05
sender_transactions_previous_24_steps,2.2925417069416832e-05
prior_sender_transaction_count,1.9483284982907603e-05
prior_sender_has_history,1.1567749270743145e-05
sender_transactions_previous_6_steps,1.4566979956473587e-06
prior_sender_transfer_count,2.8012762081968852e-08
sender_transactions_previous_1_step,3.7119162033711884e-09
prior_sender_amount_std,7.013507742175153e-10
