feature,importance
destination_balance_zero,159.4126434326172
is_transfer_or_cash_out,159.2904815673828
prior_receiver_has_history,117.70206451416016
type_CASH_IN,68.90242004394531
type_TRANSFER,56.489559173583984
type_PAYMENT,53.6705436706543
is_transfer,50.292301177978516
oldbalanceOrg,39.91001510620117
type_CASH_OUT,27.20899200439453
simulated_day,24.313982009887695
amount,23.416521072387695
sender_balance_zero,20.155380249023438
hour_of_day,19.45766830444336
prior_receiver_transaction_count,18.305500030517578
log_amount,15.544342041015625
is_cash_out,13.178058624267578
oldbalanceDest,9.052680969238281
simulated_hour,8.617680549621582
receiver_transactions_previous_24_steps,3.8219985961914062
prior_receiver_time_since_last_transaction,3.684415340423584
prior_receiver_mean_amount,3.0748772621154785
prior_receiver_total_amount,2.804232358932495
prior_receiver_distinct_senders,2.7735846042633057
prior_receiver_max_amount,2.700061321258545
sender_amount_previous_24_steps,0.0
sender_transactions_previous_24_steps,0.0
sender_transactions_previous_6_steps,0.0
sender_transactions_previous_1_step,0.0
type_DEBIT,0.0
prior_sender_mean_amount,0.0
prior_sender_total_amount,0.0
prior_sender_transaction_count,0.0
prior_sender_distinct_destinations,0.0
prior_sender_cashout_count,0.0
prior_sender_transfer_count,0.0
prior_sender_time_since_last_transaction,0.0
prior_sender_has_history,0.0
prior_sender_amount_std,0.0
prior_sender_min_amount,0.0
prior_sender_max_amount,0.0
