model,split,k,precision_at_k,recall_at_k,skipped_reason
model_g_rf_ablated,validation,100,1.0,0.1773049645390071,
model_g_rf_ablated,validation,500,0.756,0.6702127659574468,
model_g_rf_ablated,validation,1000,0.423,0.75,
model_g_rf_ablated,validation,5000,0.0926,0.8209219858156028,
model_g_rf_ablated,validation,10000,0.0485,0.8599290780141844,
model_g_rf_ablated,test,100,1.0,0.02496255616575137,
model_g_rf_ablated,test,500,1.0,0.12481278082875687,
model_g_rf_ablated,test,1000,0.999,0.2493759360958562,
model_g_rf_ablated,test,5000,0.5778,0.7211682476285571,
model_g_rf_ablated,test,10000,0.3298,0.8232651023464803,
model_h_xgb_ablated,validation,100,1.0,0.1773049645390071,
model_h_xgb_ablated,validation,500,0.864,0.7659574468085106,
model_h_xgb_ablated,validation,1000,0.48,0.851063829787234,
model_h_xgb_ablated,validation,5000,0.1088,0.9645390070921985,
model_h_xgb_ablated,validation,10000,0.0557,0.9875886524822695,
model_h_xgb_ablated,test,100,1.0,0.02496255616575137,
model_h_xgb_ablated,test,500,1.0,0.12481278082875687,
model_h_xgb_ablated,test,1000,1.0,0.24962556165751373,
model_h_xgb_ablated,test,5000,0.7142,0.8914128806789815,
model_h_xgb_ablated,test,10000,0.3909,0.9757863205192212,
