split,amount_bin,total_transactions,fraud_count,predicted_fraud_count,false_positives,false_negatives,precision,recall
validation,0-25pct,245104,30,5,0,25,1.0,0.16666666666666666
validation,25-50pct,245104,60,35,5,30,0.8571428571428571,0.5
validation,50-75pct,245104,114,73,5,46,0.9315068493150684,0.5964912280701754
validation,75-90pct,147062,76,50,6,32,0.88,0.5789473684210527
validation,90-95pct,49021,52,23,1,30,0.9565217391304348,0.4230769230769231
validation,95-99pct,39216,150,154,15,11,0.9025974025974026,0.9266666666666666
validation,99-100pct,9805,82,82,0,0,1.0,1.0
test,0-25pct,229655,149,57,6,98,0.8947368421052632,0.3422818791946309
test,25-50pct,229654,480,294,54,240,0.8163265306122449,0.5
test,50-75pct,229654,662,479,71,254,0.8517745302713987,0.6163141993957704
test,75-90pct,137792,483,364,36,155,0.9010989010989011,0.6790890269151139
test,90-95pct,45931,315,160,6,161,0.9625,0.4888888888888889
test,95-99pct,36744,964,891,10,83,0.9887766554433222,0.9139004149377593
test,99-100pct,9187,953,953,0,0,1.0,1.0
