simulated_day,total_transactions,fraud_count,false_positives,false_negatives,split
13,321188,124,6,61,validation
14,401282,250,11,66,validation
15,257946,190,15,47,validation
15,117648,62,8,24,test
16,425766,320,16,78,test
17,20999,268,46,61,test
18,11300,256,8,56,test
19,19727,236,2,60,test
20,24593,272,7,52,test
21,53437,256,7,75,test
22,51012,216,9,53,test
23,32709,280,3,72,test
24,57853,240,13,49,test
25,13885,272,28,74,test
26,8578,280,0,82,test
27,14661,248,29,71,test
28,54890,260,7,59,test
29,11287,268,0,58,test
30,272,272,0,67,test
