split,type,total_transactions,fraud_count,predicted_fraud_count,true_positive,false_positive,false_negative,precision,recall
validation,TRANSFER,83440,282,262,237,25,45,0.9045801526717557,0.8404255319148937
validation,CASH_OUT,344551,282,160,153,7,129,0.95625,0.5425531914893617
validation,PAYMENT,327506,0,0,0,0,0,,
validation,CASH_IN,217839,0,0,0,0,0,,
validation,DEBIT,7080,0,0,0,0,0,,
test,TRANSFER,80221,2003,1858,1804,54,199,0.9709364908503767,0.9006490264603095
test,CASH_OUT,310302,2003,1340,1211,129,792,0.9037313432835821,0.6045931103344983
test,PAYMENT,317437,0,0,0,0,0,,
test,CASH_IN,204069,0,0,0,0,0,,
test,DEBIT,6588,0,0,0,0,0,,
