split,step,type,amount,oldbalanceOrg,oldbalanceDest,predicted_probability,isFraud,sender_balance_zero,destination_balance_zero,prior_sender_transaction_count,prior_receiver_transaction_count,error_type
test,582,TRANSFER,27500.84,30972.0,0.0,0.9968368,0,0,1,0.0,0.0,false_positive
test,416,TRANSFER,79281.49,83791.0,0.0,0.99450433,0,0,1,0.0,0.0,false_positive
test,487,CASH_OUT,64142.82,58940.0,0.0,0.9931143,0,0,1,0.0,0.0,false_positive
test,608,CASH_OUT,55661.91,53773.0,1106755.35,0.992069,0,0,0,0.0,13.0,false_positive
test,416,CASH_OUT,36936.43,37220.0,0.0,0.9897267,0,0,1,0.0,6.0,false_positive
test,487,CASH_OUT,16516.08,18392.09,1202783.8,0.98955137,0,0,0,0.0,4.0,false_positive
test,416,CASH_OUT,168362.32,176255.0,2955203.88,0.98706436,0,0,0,0.0,13.0,false_positive
test,461,CASH_OUT,97765.63,87456.23,21044230.0,0.9866036,0,0,0,0.0,11.0,false_positive
validation,326,TRANSFER,1033800.77,1890671.69,0.0,0.9841822,0,0,1,0.0,0.0,false_positive
test,608,CASH_OUT,57342.19,60334.0,3533.11,0.98332626,0,0,0,0.0,6.0,false_positive
test,608,CASH_OUT,51595.78,54938.0,131476.2,0.98232424,0,0,0,0.0,8.0,false_positive
test,656,CASH_OUT,55717.26,57510.0,0.0,0.9792838,0,0,1,0.0,0.0,false_positive
test,582,CASH_OUT,92822.25,113491.0,845147.4,0.9777404,0,0,0,0.0,4.0,false_positive
test,656,CASH_OUT,88624.73,88028.0,3118552.22,0.97533345,0,0,0,0.0,10.0,false_positive
test,608,CASH_OUT,60403.7,60014.0,14175.55,0.97501963,0,0,0,0.0,2.0,false_positive
test,608,CASH_OUT,96669.53,101734.0,525197.62,0.9740234,0,0,0,0.0,6.0,false_positive
test,656,TRANSFER,340422.78,299676.0,0.0,0.9715953,0,0,1,0.0,0.0,false_positive
test,416,TRANSFER,313439.92,363239.0,0.0,0.97066146,0,0,1,0.0,0.0,false_positive
test,439,CASH_OUT,125416.86,160996.0,454401.79,0.96890825,0,0,0,0.0,5.0,false_positive
test,608,CASH_OUT,348827.57,333464.32,6105869.82,0.9677861,0,0,0,0.0,3.0,false_positive
test,741,CASH_OUT,0.0,0.0,267522.87,0.0001311912,1,1,0,0.0,2.0,false_negative
validation,328,CASH_OUT,6391.6,6391.6,2954292.05,0.00025254622,1,0,0,0.0,1.0,false_negative
test,425,CASH_OUT,0.0,0.0,2921531.34,0.00032688267,1,1,0,0.0,5.0,false_negative
test,546,CASH_OUT,24773.86,24773.86,11003181.73,0.00041571702,1,0,0,0.0,29.0,false_negative
test,425,CASH_OUT,0.0,0.0,76759.9,0.00044748434,1,1,0,0.0,1.0,false_negative
test,382,CASH_OUT,6085.3,6085.3,1219255.67,0.00046336048,1,0,0,0.0,34.0,false_negative
test,452,CASH_OUT,63262.94,63262.94,6388249.11,0.0005686355,1,0,0,0.0,42.0,false_negative
validation,352,CASH_OUT,75734.99,75734.99,3474246.35,0.0006703275,1,0,0,0.0,39.0,false_negative
test,476,CASH_OUT,1048.63,1048.63,62895.35,0.00068607304,1,0,0,0.0,3.0,false_negative
test,527,CASH_OUT,6087.58,6087.58,3584904.5,0.0006869029,1,0,0,0.0,5.0,false_negative
test,475,CASH_OUT,20111.45,20111.45,1431418.64,0.00077755016,1,0,0,0.0,3.0,false_negative
test,467,CASH_OUT,5937.19,5937.19,36171.27,0.0008155439,1,0,0,0.0,4.0,false_negative
test,399,CASH_OUT,77710.4,77710.4,11181435.26,0.00083713385,1,0,0,0.0,26.0,false_negative
test,635,CASH_OUT,13128.49,13128.49,293704.01,0.000890597,1,0,0,0.0,1.0,false_negative
test,569,CASH_OUT,22117.99,22117.99,581228.15,0.0009372834,1,0,0,0.0,0.0,false_negative
test,660,CASH_OUT,51725.86,51725.86,31743.54,0.0009391365,1,0,0,0.0,3.0,false_negative
test,739,CASH_OUT,194521.28,194521.28,7203373.74,0.0010200333,1,0,0,0.0,6.0,false_negative
test,730,CASH_OUT,0.0,0.0,1008609.53,0.0011015466,1,1,0,0.0,12.0,false_negative
test,400,CASH_OUT,51113.0,51113.0,3442151.74,0.0011534959,1,0,0,0.0,8.0,false_negative
test,448,CASH_OUT,14133.69,14133.69,2634011.66,0.0011933629,1,0,0,0.0,5.0,false_negative
