feature,importance
is_transfer_or_cash_out,182.32667541503906
destination_balance_zero,151.50662231445312
prior_receiver_has_history,146.40232849121094
type_PAYMENT,76.2604751586914
type_CASH_IN,67.73461151123047
is_transfer,64.08425903320312
type_TRANSFER,63.745914459228516
oldbalanceOrg,47.99751281738281
is_cash_out,33.579200744628906
prior_receiver_transaction_count,28.107351303100586
type_CASH_OUT,28.007383346557617
simulated_day,27.47892189025879
amount,25.40462875366211
sender_balance_zero,23.712846755981445
hour_of_day,23.229278564453125
log_amount,22.037660598754883
type_DEBIT,10.697977066040039
oldbalanceDest,9.634754180908203
simulated_hour,7.970146179199219
prior_receiver_time_since_last_transaction,3.831756591796875
receiver_transactions_previous_24_steps,3.6507558822631836
prior_receiver_mean_amount,3.416454315185547
prior_receiver_total_amount,3.048645257949829
prior_receiver_max_amount,2.823741912841797
prior_receiver_distinct_senders,2.2270328998565674
prior_sender_total_amount,1.4411755800247192
prior_sender_min_amount,1.0621405839920044
prior_sender_distinct_destinations,0.0
prior_sender_mean_amount,0.0
prior_sender_cashout_count,0.0
prior_sender_amount_std,0.0
prior_sender_transfer_count,0.0
prior_sender_time_since_last_transaction,0.0
prior_sender_transaction_count,0.0
prior_sender_has_history,0.0
sender_transactions_previous_1_step,0.0
sender_transactions_previous_6_steps,0.0
sender_transactions_previous_24_steps,0.0
sender_amount_previous_24_steps,0.0
prior_sender_max_amount,0.0
