model,feature,coefficient,odds_ratio
model_a_unweighted,amount_exceeds_sender_balance,-4.092316726296431,0.01670049822292381
model_a_unweighted,log_amount,1.4488226243596751,4.25809818162068
model_a_unweighted,amount_to_sender_balance,-1.0311057706592412,0.3566124109279158
model_a_unweighted,is_transfer_or_cash_out,1.0055180247713662,2.733322835082828
model_a_unweighted,type_CASH_OUT,0.6681235426703095,1.9505737160654928
model_a_unweighted,is_cash_out,0.6681235426703095,1.9505737160654928
model_a_unweighted,destination_balance_zero,0.6594868336725569,1.9337997188356466
model_a_unweighted,type_TRANSFER,0.6504301543042944,1.9163649843908315
model_a_unweighted,is_transfer,0.6504301543042944,1.9163649843908315
model_a_unweighted,type_PAYMENT,-0.6500511777186806,0.5220190603327634
model_a_unweighted,hour_of_day,-0.5083170907875435,0.601507009187924
model_a_unweighted,type_CASH_IN,-0.4844584439093473,0.6160307216342515
model_a_unweighted,oldbalanceDest,-0.3739172356218283,0.6880338541666495
model_a_unweighted,prior_receiver_has_history,-0.3535437321277355,0.7021952834227533
model_a_unweighted,oldbalanceOrg,0.34074581486895855,1.4059958122077991
model_a_unweighted,amount,0.28673170216828003,1.3320667749004107
model_a_unweighted,sender_balance_zero,0.227989786954955,1.2560724970418438
model_a_unweighted,prior_receiver_max_amount,-0.21328601587428184,0.8079250247848337
model_a_unweighted,receiver_transactions_previous_24_steps,-0.15545718158233224,0.8560237297258091
model_a_unweighted,prior_receiver_transaction_count,0.15071490907160764,1.1626651455427046
model_a_unweighted,prior_receiver_distinct_senders,0.15071490906005874,1.1626651455292771
model_a_unweighted,prior_receiver_mean_amount,-0.11959435769336069,0.8872802821482441
model_a_unweighted,type_DEBIT,0.11373585104254819,1.1204561184754163
model_a_unweighted,prior_receiver_time_since_last_transaction,0.07439094791451943,1.0772278631716161
model_a_unweighted,simulated_hour,-0.07345473881219959,0.929178200548823
model_a_unweighted,prior_receiver_total_amount,-0.052137455412654715,0.9491983854196471
model_a_unweighted,simulated_day,-0.05159717633134544,0.949711356012464
model_a_unweighted,prior_sender_transfer_count,-0.030146302026447414,0.9703035657857321
model_a_unweighted,sender_transactions_previous_6_steps,-0.020828204400778868,0.9793872045292751
model_a_unweighted,prior_sender_total_amount,-0.017533752934036403,0.9826190688287242
model_a_unweighted,prior_sender_max_amount,-0.017526317560598317,0.9826263749956103
model_a_unweighted,prior_sender_mean_amount,-0.017522253553036035,0.9826303684047438
model_a_unweighted,prior_sender_min_amount,-0.017517797962086606,0.9826347466134737
model_a_unweighted,prior_sender_cashout_count,0.007821553017796065,1.0078522212692427
model_a_unweighted,sender_amount_previous_24_steps,-0.006472501578627284,0.9935483999403645
model_a_unweighted,sender_transactions_previous_24_steps,0.005843786550891082,1.0058608947808967
model_a_unweighted,prior_sender_time_since_last_transaction,0.004360890332744686,1.0043704128521809
model_a_unweighted,prior_sender_has_history,0.003938888753536263,1.003946656371088
model_a_unweighted,prior_sender_distinct_destinations,0.00384754557838006,1.0038549568839326
model_a_unweighted,prior_sender_transaction_count,0.00384754557838006,1.0038549568839326
model_a_unweighted,sender_transactions_previous_1_step,-0.003775359836839186,0.9962317578739858
model_a_unweighted,prior_sender_amount_std,-0.0010095654142512004,0.9989909440254596
model_b_balanced,amount_exceeds_sender_balance,-4.73303860277517,0.008799691606964588
model_b_balanced,sender_balance_zero,2.0539706363144403,7.798805931834062
model_b_balanced,is_transfer_or_cash_out,1.8725401984712415,6.504798910834758
model_b_balanced,type_CASH_OUT,1.4311399391310735,4.183465370709835
model_b_balanced,is_cash_out,1.4311399391310735,4.183465370709835
model_b_balanced,type_PAYMENT,-1.347133426675579,0.25998445800021286
model_b_balanced,oldbalanceOrg,-1.1490971017296434,0.3169227892744604
model_b_balanced,type_TRANSFER,0.8866657704599651,2.427023890815107
model_b_balanced,is_transfer,0.8866657704599651,2.427023890815107
model_b_balanced,amount_to_sender_balance,-0.8207354341079134,0.44010786512254285
model_b_balanced,log_amount,0.7227070627139612,2.0600022246208924
model_b_balanced,amount,0.7076974969792807,2.029313375116737
model_b_balanced,type_CASH_IN,-0.6933413790868233,0.49990291016421773
model_b_balanced,destination_balance_zero,0.6245897284081576,1.8674796264019886
model_b_balanced,hour_of_day,-0.3763020979762846,0.6863949431945806
model_b_balanced,prior_receiver_mean_amount,-0.333116277355111,0.7166868548586305
model_b_balanced,prior_receiver_total_amount,0.2825154047044567,1.32646220869766
model_b_balanced,prior_receiver_has_history,-0.2361161426652434,0.7896889520268909
model_b_balanced,simulated_hour,-0.23014723739862036,0.7944166260544503
model_b_balanced,simulated_day,-0.21406280549650253,0.8072976806987814
model_b_balanced,oldbalanceDest,-0.21115469442642532,0.8096488090350611
model_b_balanced,prior_sender_transfer_count,-0.17475128427982092,0.8396658328930399
model_b_balanced,sender_transactions_previous_6_steps,-0.1689706104675949,0.8445337234725404
model_b_balanced,receiver_transactions_previous_24_steps,-0.11500782246924107,0.8913591712498599
model_b_balanced,prior_receiver_transaction_count,-0.10361111393166808,0.9015758395398555
model_b_balanced,prior_receiver_distinct_senders,-0.10361111392079352,0.9015758395496598
model_b_balanced,prior_receiver_max_amount,0.0907412215843829,1.094985609950486
model_b_balanced,sender_amount_previous_24_steps,-0.0808921207094708,0.9222931824121826
model_b_balanced,prior_receiver_time_since_last_transaction,0.08032965582450137,1.0836442384349008
model_b_balanced,type_DEBIT,-0.06535507255051662,0.9367347955072856
model_b_balanced,sender_transactions_previous_1_step,-0.062337363544253815,0.9395658580491945
model_b_balanced,prior_sender_time_since_last_transaction,0.05913178080753145,1.0609150397692053
model_b_balanced,sender_transactions_previous_24_steps,0.04853213002753371,1.04972909910335
model_b_balanced,prior_sender_cashout_count,-0.030436382299454234,0.9700221406823784
model_b_balanced,prior_sender_amount_std,-0.023399937785039047,0.9768717177263773
model_b_balanced,prior_sender_transaction_count,-0.019653685011156167,0.9805381895857611
model_b_balanced,prior_sender_distinct_destinations,-0.019653685011156167,0.9805381895857611
model_b_balanced,prior_sender_has_history,-0.018773791825256323,0.9814013381408699
model_b_balanced,prior_sender_min_amount,0.015294478923209277,1.0154120380364478
model_b_balanced,prior_sender_mean_amount,0.015183615830407766,1.0152994725572368
model_b_balanced,prior_sender_max_amount,0.015072420112236652,1.0151865818798234
model_b_balanced,prior_sender_total_amount,0.01500889745204049,1.0151220965757077
