model,split,k,precision_at_k,recall_at_k,skipped_reason
model_a_unweighted,validation,100,1.0,0.1773049645390071,
model_a_unweighted,validation,500,0.606,0.5372340425531915,
model_a_unweighted,validation,1000,0.331,0.5868794326241135,
model_a_unweighted,validation,5000,0.0854,0.7570921985815603,
model_a_unweighted,validation,10000,0.0479,0.849290780141844,
model_a_unweighted,test,100,1.0,0.02496255616575137,
model_a_unweighted,test,500,1.0,0.12481278082875687,
model_a_unweighted,test,1000,1.0,0.24962556165751373,
model_a_unweighted,test,5000,0.5844,0.7294058911632552,
model_a_unweighted,test,10000,0.3339,0.8334997503744384,
model_b_balanced,validation,100,0.55,0.0975177304964539,
model_b_balanced,validation,500,0.264,0.23404255319148937,
model_b_balanced,validation,1000,0.196,0.3475177304964539,
model_b_balanced,validation,5000,0.081,0.7180851063829787,
model_b_balanced,validation,10000,0.0466,0.8262411347517731,
model_b_balanced,test,100,1.0,0.02496255616575137,
model_b_balanced,test,500,0.996,0.12431352970544184,
model_b_balanced,test,1000,0.979,0.24438342486270595,
model_b_balanced,test,5000,0.5094,0.6357963055416874,
model_b_balanced,test,10000,0.3099,0.7735896155766351,
