model,split,k,precision_at_k,recall_at_k,skipped_reason
Logistic Regression - unweighted,validation,100,1.0,0.1773049645390071,
Logistic Regression - unweighted,validation,500,0.606,0.5372340425531915,
Logistic Regression - unweighted,validation,1000,0.331,0.5868794326241135,
Logistic Regression - unweighted,validation,5000,0.0854,0.7570921985815603,
Logistic Regression - unweighted,validation,10000,0.0479,0.849290780141844,
Logistic Regression - unweighted,test,100,1.0,0.0249625561657513,
Logistic Regression - unweighted,test,500,1.0,0.1248127808287568,
Logistic Regression - unweighted,test,1000,1.0,0.2496255616575137,
Logistic Regression - unweighted,test,5000,0.5844,0.7294058911632552,
Logistic Regression - unweighted,test,10000,0.3339,0.8334997503744384,
Logistic Regression - balanced,validation,100,0.55,0.0975177304964539,
Logistic Regression - balanced,validation,500,0.264,0.2340425531914893,
Logistic Regression - balanced,validation,1000,0.196,0.3475177304964539,
Logistic Regression - balanced,validation,5000,0.081,0.7180851063829787,
Logistic Regression - balanced,validation,10000,0.0466,0.8262411347517731,
Logistic Regression - balanced,test,100,1.0,0.0249625561657513,
Logistic Regression - balanced,test,500,0.996,0.1243135297054418,
Logistic Regression - balanced,test,1000,0.979,0.2443834248627059,
Logistic Regression - balanced,test,5000,0.5094,0.6357963055416874,
Logistic Regression - balanced,test,10000,0.3099,0.7735896155766351,
Random Forest - unweighted,validation,100,1.0,0.1773049645390071,
Random Forest - unweighted,validation,500,1.0,0.8865248226950354,
Random Forest - unweighted,validation,1000,0.564,1.0,
Random Forest - unweighted,validation,5000,0.1128,1.0,
Random Forest - unweighted,validation,10000,0.0564,1.0,
Random Forest - unweighted,test,100,1.0,0.0249625561657513,
Random Forest - unweighted,test,500,1.0,0.1248127808287568,
Random Forest - unweighted,test,1000,1.0,0.2496255616575137,
Random Forest - unweighted,test,5000,0.8008,0.9995007488766848,
Random Forest - unweighted,test,10000,0.4006,1.0,
Random Forest - balanced_subsample,validation,100,1.0,0.1773049645390071,
Random Forest - balanced_subsample,validation,500,1.0,0.8865248226950354,
Random Forest - balanced_subsample,validation,1000,0.564,1.0,
Random Forest - balanced_subsample,validation,5000,0.1128,1.0,
Random Forest - balanced_subsample,validation,10000,0.0564,1.0,
Random Forest - balanced_subsample,test,100,1.0,0.0249625561657513,
Random Forest - balanced_subsample,test,500,1.0,0.1248127808287568,
Random Forest - balanced_subsample,test,1000,1.0,0.2496255616575137,
Random Forest - balanced_subsample,test,5000,0.8012,1.0,
Random Forest - balanced_subsample,test,10000,0.4006,1.0,
