model,feature,importance
model_c_unweighted,amount_to_sender_balance,0.44932121321553053
model_c_unweighted,amount_exceeds_sender_balance,0.0928397730775886
model_c_unweighted,oldbalanceOrg,0.07586772344364194
model_c_unweighted,amount,0.0757505632714866
model_c_unweighted,log_amount,0.07569016698083258
model_c_unweighted,hour_of_day,0.04224431001015059
model_c_unweighted,simulated_hour,0.02433762316519641
model_c_unweighted,oldbalanceDest,0.021168090426608402
model_c_unweighted,is_transfer,0.015418797574822396
model_c_unweighted,type_TRANSFER,0.014444195645116202
model_c_unweighted,simulated_day,0.013829738775901271
model_c_unweighted,destination_balance_zero,0.012866669810589046
model_c_unweighted,is_cash_out,0.012131480140173507
model_c_unweighted,prior_receiver_time_since_last_transaction,0.009665068661345852
model_c_unweighted,type_CASH_OUT,0.009368939847058756
model_c_unweighted,is_transfer_or_cash_out,0.008360257410924447
model_c_unweighted,prior_receiver_max_amount,0.0074955682946396705
model_c_unweighted,prior_receiver_has_history,0.006836788992350004
model_c_unweighted,prior_receiver_mean_amount,0.006764550232460784
model_c_unweighted,prior_receiver_total_amount,0.006398221326482556
model_c_unweighted,prior_receiver_distinct_senders,0.00587577951660026
model_c_unweighted,prior_receiver_transaction_count,0.005159931947238402
model_c_unweighted,sender_balance_zero,0.002854566008568859
model_c_unweighted,type_CASH_IN,0.0021919694644649576
model_c_unweighted,receiver_transactions_previous_24_steps,0.0019006225756272282
model_c_unweighted,type_PAYMENT,0.000880513783210104
model_c_unweighted,type_DEBIT,8.478923848935494e-05
model_c_unweighted,prior_sender_min_amount,4.982993397708711e-05
model_c_unweighted,prior_sender_max_amount,4.4959396501858704e-05
model_c_unweighted,prior_sender_total_amount,3.5067725633293424e-05
model_c_unweighted,prior_sender_time_since_last_transaction,3.401828445312127e-05
model_c_unweighted,prior_sender_mean_amount,2.5502657006191887e-05
model_c_unweighted,prior_sender_transaction_count,1.7467098745419323e-05
model_c_unweighted,prior_sender_has_history,1.0023032716839602e-05
model_c_unweighted,prior_sender_cashout_count,9.851490310242522e-06
model_c_unweighted,sender_transactions_previous_24_steps,9.61400883051807e-06
model_c_unweighted,sender_amount_previous_24_steps,8.320836370472435e-06
model_c_unweighted,prior_sender_distinct_destinations,7.397882676149738e-06
model_c_unweighted,prior_sender_transfer_count,3.470978243127363e-08
model_c_unweighted,sender_transactions_previous_6_steps,1.0589716020819484e-10
model_c_unweighted,prior_sender_amount_std,0.0
model_c_unweighted,sender_transactions_previous_1_step,0.0
model_d_balanced_subsample,amount_to_sender_balance,0.23982076223059753
model_d_balanced_subsample,amount_exceeds_sender_balance,0.1609368292985882
model_d_balanced_subsample,is_transfer_or_cash_out,0.1196518108257809
model_d_balanced_subsample,oldbalanceOrg,0.06359066361130995
model_d_balanced_subsample,amount,0.05685339378107125
model_d_balanced_subsample,type_PAYMENT,0.04954300986604039
model_d_balanced_subsample,log_amount,0.04868110708609712
model_d_balanced_subsample,is_transfer,0.037224976637689096
model_d_balanced_subsample,type_CASH_IN,0.029423871794404997
model_d_balanced_subsample,is_cash_out,0.026628611233847372
model_d_balanced_subsample,type_CASH_OUT,0.025225048560305472
model_d_balanced_subsample,type_TRANSFER,0.025145379596771267
model_d_balanced_subsample,sender_balance_zero,0.02258885347201701
model_d_balanced_subsample,hour_of_day,0.019293382230687307
model_d_balanced_subsample,oldbalanceDest,0.017119063172331167
model_d_balanced_subsample,destination_balance_zero,0.010204233656656427
model_d_balanced_subsample,prior_receiver_mean_amount,0.007864119613771777
model_d_balanced_subsample,prior_receiver_total_amount,0.007747686003581993
model_d_balanced_subsample,prior_receiver_max_amount,0.00606780038559756
model_d_balanced_subsample,simulated_hour,0.005191497785884304
model_d_balanced_subsample,prior_receiver_transaction_count,0.004053046381666375
model_d_balanced_subsample,prior_receiver_time_since_last_transaction,0.004013656171400792
model_d_balanced_subsample,prior_receiver_distinct_senders,0.003626651377879373
model_d_balanced_subsample,receiver_transactions_previous_24_steps,0.003216249739839354
model_d_balanced_subsample,simulated_day,0.003204842922480355
model_d_balanced_subsample,prior_receiver_has_history,0.002870830496481126
model_d_balanced_subsample,type_DEBIT,0.00018092033694030744
model_d_balanced_subsample,prior_sender_mean_amount,7.152258461285166e-06
model_d_balanced_subsample,prior_sender_total_amount,6.600799098042712e-06
model_d_balanced_subsample,prior_sender_max_amount,6.304372446749384e-06
model_d_balanced_subsample,prior_sender_min_amount,4.794894781243898e-06
model_d_balanced_subsample,prior_sender_time_since_last_transaction,2.091725409885394e-06
model_d_balanced_subsample,prior_sender_transaction_count,1.7926979643533883e-06
model_d_balanced_subsample,prior_sender_distinct_destinations,1.6499214515013618e-06
model_d_balanced_subsample,prior_sender_has_history,7.606539203802342e-07
model_d_balanced_subsample,prior_sender_cashout_count,3.4502466015692325e-07
model_d_balanced_subsample,sender_amount_previous_24_steps,1.0335548495917289e-07
model_d_balanced_subsample,sender_transactions_previous_24_steps,8.063721873660099e-08
model_d_balanced_subsample,prior_sender_transfer_count,1.7437692409660912e-08
model_d_balanced_subsample,sender_transactions_previous_6_steps,7.926680987095537e-09
model_d_balanced_subsample,sender_transactions_previous_1_step,2.4462148113750712e-11
model_d_balanced_subsample,prior_sender_amount_std,5.485099421453541e-13
