model,split,k,precision_at_k,recall_at_k,skipped_reason
model_c_unweighted,validation,100,1.0,0.1773049645390071,
model_c_unweighted,validation,500,1.0,0.8865248226950354,
model_c_unweighted,validation,1000,0.564,1.0,
model_c_unweighted,validation,5000,0.1128,1.0,
model_c_unweighted,validation,10000,0.0564,1.0,
model_c_unweighted,test,100,1.0,0.02496255616575137,
model_c_unweighted,test,500,1.0,0.12481278082875687,
model_c_unweighted,test,1000,1.0,0.24962556165751373,
model_c_unweighted,test,5000,0.8008,0.9995007488766849,
model_c_unweighted,test,10000,0.4006,1.0,
model_d_balanced_subsample,validation,100,1.0,0.1773049645390071,
model_d_balanced_subsample,validation,500,1.0,0.8865248226950354,
model_d_balanced_subsample,validation,1000,0.564,1.0,
model_d_balanced_subsample,validation,5000,0.1128,1.0,
model_d_balanced_subsample,validation,10000,0.0564,1.0,
model_d_balanced_subsample,test,100,1.0,0.02496255616575137,
model_d_balanced_subsample,test,500,1.0,0.12481278082875687,
model_d_balanced_subsample,test,1000,1.0,0.24962556165751373,
model_d_balanced_subsample,test,5000,0.8012,1.0,
model_d_balanced_subsample,test,10000,0.4006,1.0,
