model,feature,importance
model_e_unweighted,amount_exceeds_sender_balance,213.6256866455078
model_e_unweighted,amount_to_sender_balance,185.99635314941406
model_e_unweighted,type_CASH_IN,113.67725372314453
model_e_unweighted,is_transfer_or_cash_out,80.60199737548828
model_e_unweighted,destination_balance_zero,35.289424896240234
model_e_unweighted,is_transfer,24.43789291381836
model_e_unweighted,type_TRANSFER,14.499580383300781
model_e_unweighted,amount,9.352133750915527
model_e_unweighted,log_amount,8.002203941345215
model_e_unweighted,type_CASH_OUT,7.885664463043213
model_e_unweighted,prior_receiver_has_history,7.648653507232666
model_e_unweighted,type_PAYMENT,7.387928485870361
model_e_unweighted,prior_receiver_transaction_count,6.280832767486572
model_e_unweighted,hour_of_day,6.134197235107422
model_e_unweighted,sender_balance_zero,4.567275524139404
model_e_unweighted,simulated_day,4.536961555480957
model_e_unweighted,oldbalanceOrg,4.193667888641357
model_e_unweighted,oldbalanceDest,3.318096876144409
model_e_unweighted,simulated_hour,2.340209722518921
model_e_unweighted,prior_receiver_time_since_last_transaction,1.8408044576644897
model_e_unweighted,prior_receiver_total_amount,1.702725887298584
model_e_unweighted,prior_receiver_max_amount,1.6757885217666626
model_e_unweighted,prior_receiver_mean_amount,1.6470717191696167
model_e_unweighted,receiver_transactions_previous_24_steps,1.61070716381073
model_e_unweighted,prior_receiver_distinct_senders,1.4882996082305908
model_e_unweighted,is_cash_out,1.4561675786972046
model_e_unweighted,prior_sender_amount_std,0.0
model_e_unweighted,prior_sender_has_history,0.0
model_e_unweighted,sender_amount_previous_24_steps,0.0
model_e_unweighted,sender_transactions_previous_24_steps,0.0
model_e_unweighted,sender_transactions_previous_6_steps,0.0
model_e_unweighted,sender_transactions_previous_1_step,0.0
model_e_unweighted,type_DEBIT,0.0
model_e_unweighted,prior_sender_transaction_count,0.0
model_e_unweighted,prior_sender_total_amount,0.0
model_e_unweighted,prior_sender_max_amount,0.0
model_e_unweighted,prior_sender_min_amount,0.0
model_e_unweighted,prior_sender_distinct_destinations,0.0
model_e_unweighted,prior_sender_cashout_count,0.0
model_e_unweighted,prior_sender_transfer_count,0.0
model_e_unweighted,prior_sender_time_since_last_transaction,0.0
model_e_unweighted,prior_sender_mean_amount,0.0
model_f_scale_pos_weight,amount_exceeds_sender_balance,79822.578125
model_f_scale_pos_weight,type_CASH_IN,57808.0
model_f_scale_pos_weight,type_PAYMENT,52137.12890625
model_f_scale_pos_weight,is_transfer_or_cash_out,26577.072265625
model_f_scale_pos_weight,amount_to_sender_balance,26186.3828125
model_f_scale_pos_weight,type_CASH_OUT,2928.671630859375
model_f_scale_pos_weight,log_amount,1509.587890625
model_f_scale_pos_weight,type_TRANSFER,1182.955078125
model_f_scale_pos_weight,oldbalanceOrg,964.076171875
model_f_scale_pos_weight,amount,833.1838989257812
model_f_scale_pos_weight,sender_balance_zero,727.2228393554688
model_f_scale_pos_weight,destination_balance_zero,513.9856567382812
model_f_scale_pos_weight,oldbalanceDest,444.52630615234375
model_f_scale_pos_weight,prior_receiver_mean_amount,228.5120086669922
model_f_scale_pos_weight,prior_receiver_total_amount,198.96885681152344
model_f_scale_pos_weight,simulated_hour,178.4523162841797
model_f_scale_pos_weight,simulated_day,168.1404571533203
model_f_scale_pos_weight,receiver_transactions_previous_24_steps,151.24301147460938
model_f_scale_pos_weight,prior_receiver_distinct_senders,150.71926879882812
model_f_scale_pos_weight,hour_of_day,135.63119506835938
model_f_scale_pos_weight,prior_receiver_time_since_last_transaction,117.12286376953125
model_f_scale_pos_weight,prior_receiver_max_amount,102.6859359741211
model_f_scale_pos_weight,is_cash_out,100.73374938964844
model_f_scale_pos_weight,prior_receiver_transaction_count,93.74809265136719
model_f_scale_pos_weight,is_transfer,50.87809371948242
model_f_scale_pos_weight,prior_receiver_has_history,38.90947341918945
model_f_scale_pos_weight,type_DEBIT,7.572916507720947
model_f_scale_pos_weight,prior_sender_time_since_last_transaction,0.8799124956130981
model_f_scale_pos_weight,prior_sender_amount_std,0.0
model_f_scale_pos_weight,prior_sender_max_amount,0.0
model_f_scale_pos_weight,sender_amount_previous_24_steps,0.0
model_f_scale_pos_weight,sender_transactions_previous_24_steps,0.0
model_f_scale_pos_weight,sender_transactions_previous_6_steps,0.0
model_f_scale_pos_weight,sender_transactions_previous_1_step,0.0
model_f_scale_pos_weight,prior_sender_total_amount,0.0
model_f_scale_pos_weight,prior_sender_min_amount,0.0
model_f_scale_pos_weight,prior_sender_has_history,0.0
model_f_scale_pos_weight,prior_sender_transaction_count,0.0
model_f_scale_pos_weight,prior_sender_distinct_destinations,0.0
model_f_scale_pos_weight,prior_sender_cashout_count,0.0
model_f_scale_pos_weight,prior_sender_transfer_count,0.0
model_f_scale_pos_weight,prior_sender_mean_amount,0.0
