model,split,k,precision_at_k,recall_at_k,skipped_reason
model_e_unweighted,validation,100,1.0,0.1773049645390071,
model_e_unweighted,validation,500,0.96,0.851063829787234,
model_e_unweighted,validation,1000,0.564,1.0,
model_e_unweighted,validation,5000,0.1128,1.0,
model_e_unweighted,validation,10000,0.0564,1.0,
model_e_unweighted,test,100,1.0,0.02496255616575137,
model_e_unweighted,test,500,1.0,0.12481278082875687,
model_e_unweighted,test,1000,1.0,0.24962556165751373,
model_e_unweighted,test,5000,0.8012,1.0,
model_e_unweighted,test,10000,0.4006,1.0,
model_f_scale_pos_weight,validation,100,1.0,0.1773049645390071,
model_f_scale_pos_weight,validation,500,0.968,0.8581560283687943,
model_f_scale_pos_weight,validation,1000,0.564,1.0,
model_f_scale_pos_weight,validation,5000,0.1128,1.0,
model_f_scale_pos_weight,validation,10000,0.0564,1.0,
model_f_scale_pos_weight,test,100,1.0,0.02496255616575137,
model_f_scale_pos_weight,test,500,1.0,0.12481278082875687,
model_f_scale_pos_weight,test,1000,1.0,0.24962556165751373,
model_f_scale_pos_weight,test,5000,0.8012,1.0,
model_f_scale_pos_weight,test,10000,0.4006,1.0,
